"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","GrLivArea","FullBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","OpenPorchSF","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1461,20,5,80,11622,"Pave","Reg","Lvl",1,"Inside","Gtl","NAmes","Feedr","Norm","1Fam","1Story",5,6,1961,1961,"Gable","CompShg",15,15,4,"TA","TA","CBlock",3,3,4,4,468,5,270,882,"GasA","TA","Y",1,896,896,1,2,1,3,5,1,0,6,2,1961,3,1,730,3,3,"Y",0,6,2010,9,"Normal",105000
1462,20,6,81,14267,"Pave","IR1","Lvl",1,"Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,1958,1958,"Hip","CompShg",16,16,2,"TA","TA","CBlock",3,3,4,2,923,6,406,1329,"GasA","TA","Y",1,1329,1329,1,3,1,2,6,1,0,6,2,1958,3,1,312,3,3,"Y",36,6,2010,4,"Normal",172000
1463,60,6,74,13830,"Pave","IR1","Lvl",1,"Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",5,5,1997,1998,"Gable","CompShg",15,15,4,"TA","TA","PConc",2,3,4,1,791,6,137,928,"GasA","Gd","Y",1,928,1629,2,3,1,3,6,1,1,3,2,1997,1,2,482,3,3,"Y",34,3,2010,4,"Normal",189900
1464,60,6,78,9978,"Pave","IR1","Lvl",1,"Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,6,1998,1998,"Gable","CompShg",15,15,2,"TA","TA","PConc",3,3,4,1,602,6,324,926,"GasA","Ex","Y",1,926,1604,2,3,1,2,7,1,1,2,2,1998,1,2,470,3,3,"Y",36,6,2010,5,"Normal",195500
1465,120,6,43,5005,"Pave","IR1","HLS",1,"Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1992,1992,"Gable","CompShg",7,7,4,"Gd","TA","PConc",2,3,4,2,263,6,1017,1280,"GasA","Ex","Y",1,1280,1280,2,2,1,2,5,1,0,6,2,1992,2,2,506,3,3,"Y",82,1,2010,4,"Normal",191500
1466,60,6,75,10000,"Pave","IR1","Lvl",1,"Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1993,1994,"Gable","CompShg",7,7,4,"TA","TA","PConc",2,3,4,6,819,6,763,763,"GasA","Gd","Y",1,763,1655,2,3,1,3,7,1,1,3,2,1993,1,2,440,3,3,"Y",84,4,2010,4,"Normal",175900
1467,20,6,92,7980,"Pave","IR1","Lvl",1,"Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,7,1992,2007,"Gable","CompShg",7,7,4,"TA","Gd","PConc",2,3,4,2,935,6,233,1168,"GasA","Ex","Y",1,1187,1187,2,3,1,3,6,1,0,6,2,1992,1,2,420,3,3,"Y",21,3,2010,4,"Normal",185000
1468,60,6,63,8402,"Pave","IR1","Lvl",1,"Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1998,1998,"Gable","CompShg",15,15,4,"TA","TA","PConc",2,3,4,6,288,6,789,789,"GasA","Gd","Y",1,789,1465,2,3,1,3,7,1,1,2,2,1998,1,2,393,3,3,"Y",75,5,2010,4,"Normal",180400
1469,20,6,85,10176,"Pave","Reg","Lvl",1,"Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",7,5,1990,1990,"Gable","CompShg",7,7,4,"TA","TA","PConc",2,3,1,1,637,6,663,1300,"GasA","Gd","Y",1,1341,1341,1,2,1,2,5,1,1,5,2,1990,3,2,506,3,3,"Y",0,2,2010,2,"Normal",171500
1470,20,6,70,8400,"Pave","Reg","Lvl",1,"Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1970,1970,"Gable","CompShg",11,11,4,"TA","TA","CBlock",3,3,4,2,804,4,1328,882,"GasA","TA","Y",1,882,882,1,2,1,3,4,1,0,6,2,1970,1,2,525,3,3,"Y",0,4,2010,5,"Normal",126000
